horse_id,oldest_sibling_id,oldest_sibling_name,oldest_sibling_birth_year
2021105875,2022105153,ディヒターリーベ,2022
2021110019,,,
2022100497,2023100024,ピーターセン,2023
2020103448,2021105618,スマートワイス,2021
2020104616,2019106469,リュウワンヒメ,2019
2017190001,,,
2018190003,,,
2018190005,,,
2020190005,,ガミーン,2019
2017190002,,,
2019190002,,,
2018190001,,,
2018190002,,,
2020190004,,,
2019190004,,Torquator Tasso,2017
2019190001,,ノヴェリスト,2009
2022190001,,,
2019190003,,,
2020190002,,Wings of War,2019
2019106339,2020104480,オフィスバトル,2020
2019110120,,レディミスティファイ,2018
2020102651,2021104851,ブリゾ,2021
2020103365,2018105029,ケルボヌール,2018
2021100962,2022100414,モカビンビン,2022
2021101730,2022107272,ピコレッド,2022
2021101732,2022101735,ラガマフィンガール,2022
2021101743,,,
2021102054,2022102028,ルクストリッド,2022
2021105758,2022105028,プロミストジーン,2022
2021107169,2022105212,エコロハート,2022
2021110094,,,
2021110167,,,
2020100675,2021100680,ベレニーチェ,2021
2020101846,2021101697,タウンホール,2021
2020103816,,,
2020104529,2021104168,ソラリゼーション,2021
2020106689,2021103024,モナビジュー,2021
2020106758,2022103082,リケアディンブラ,2022
2020110050,,,
2021100869,2024102707,シャインオンアテナの2024,2024
2021104705,2020102481,スマートチョイスの2020,2020
2021105648,2022104903,セボンサデッセ,2022
2022102819,2023105640,リトセア,2023
2022106783,2023106449,マイネルモンブラン,2023
2022106797,2025102097,ブリングイットオンの2025,2025
2022107201,2023106271,ニシノエビガタメ,2023
2022110092,2023110022,アーデントアイ,2023
2020100873,2019102707,プレストヴィーナス,2019
2019102325,2018101173,タッチオブヨリ,2018
2019102765,2012104390,トーチカ,2012
2019106699,2020104872,ツウカイリアル,2020
2020100484,2013104549,トウショウゲイル,2013
2020106306,2018106003,デエレーブリオ,2018
2020110138,,,
2021102234,2022102212,ラブリールチア,2022
2021102400,2022102391,グーテンベルク,2022
2021103614,2023102494,スリラーナイト,2023
2021104589,2022104571,アンエクスプロード,2022
2021105021,2024105831,グラッブユアダイヤの2024,2024
2021105442,2022104689,フランコジャポネ,2022
2021110168,,Irithea,2013
2022103214,2023102221,ルクスキャンディ,2023
2019103661,2020106462,カイラシ,2020
2019105121,2018104978,ヨセミテヴァレイ,2018
2019110042,,Eradicate,2004
2019110055,,Sioux Nation,2015
2019110114,,,
2020102628,2021104827,ピエスダルジャン,2021
2020103402,2021105563,シャドフ,2021
2020103413,2021105577,ダイヤモンドレイン,2021
2020110029,,,
2020110037,2021110006,アスクナサニエル,2021
2020110150,,,
2020110153,,,
2020110154,,,
2021101922,2023105682,キセログラフィカ,2023
2021102316,2017101122,イチリュウマンバイ,2017
2021103224,2020106861,テールコート,2020
2021103259,2022103245,ミッキージュエリー,2022
2021105409,2022104655,ウィクトルウェルス,2022
2021110116,,,
2021110152,,And Tell Me Nolies,2020
2021110160,,,
2022105099,2024106663,ヤングスターの2024,2024
2022110027,,,
2022110102,,,
2019100879,2020105885,サダムターゲット,2020
2019102097,2008106020,オースミコスモの2008,2008
2019102113,2020102087,ロトエルピス,2020
2019102915,2012102214,コイノツナワタリ,2012
2019103053,2010101238,アリアローズ,2010
2020100500,2019103339,ヴィアラッテア,2019
